Fiyat_Listesi_Adi;Hizmet_Adi;Birim;Standart_Birim_Fiyat_TL
TL Fiyat Listesi;Palo Alto - Sanal Dedike Appliance -  2 vCPU - ATP Lisans - Yönetim Dahil - 1 Yıl;Adet;132700.33
USD Fiyat Listesi;Palo Alto - Sanal Dedike Appliance -  2 vCPU - ATP Lisans - Yönetim Dahil - 1 Yıl;Adet;2965.47
Euro Fiyat Listesi;Palo Alto - Sanal Dedike Appliance -  2 vCPU - ATP Lisans - Yönetim Dahil - 1 Yıl;Adet;2516.61
TL Fiyat Listesi;Dummy Product;Adet;44.75
Euro Fiyat Listesi;Dummy Product;Adet;0.85
USD Fiyat Listesi;Dummy Product;Adet;1.0
Euro Fiyat Listesi;Dummy License;Adet;0.85
TL Fiyat Listesi;Dummy License;Adet;44.75
USD Fiyat Listesi;Dummy License;Adet;1.0
USD Fiyat Listesi;Palo Alto - Sanal Dedike Appliance -  2 vCPU - ATP Lisans - Yönetim Dahil - 12 Ay Taahhütlü - Aylık;Adet;333.62
TL Fiyat Listesi;Palo Alto - Sanal Dedike Appliance -  2 vCPU - ATP Lisans - Yönetim Dahil - 12 Ay Taahhütlü - Aylık;Adet;14928.99
Euro Fiyat Listesi;Palo Alto - Sanal Dedike Appliance -  2 vCPU - ATP Lisans - Yönetim Dahil - 12 Ay Taahhütlü - Aylık;Adet;283.12
USD Fiyat Listesi;SAP Hana Storage;GB;0.04
TL Fiyat Listesi;SAP Hana Storage;GB;1.79
Euro Fiyat Listesi;SAP Hana Storage;GB;0.03
TL Fiyat Listesi;Remote Backup Hizmeti (Nutanix);GB;1.79
USD Fiyat Listesi;Remote Backup Hizmeti (Nutanix);GB;0.04
Euro Fiyat Listesi;Remote Backup Hizmeti (Nutanix);GB;0.03
USD Fiyat Listesi;Public Cloud - Accelerated_CH24s_v6;Adet;5320.37
USD Fiyat Listesi;Public Cloud - Accelerated_CH48s_v6;Adet;10640.73
TL Fiyat Listesi;Public Cloud - Accelerated_CH24s_v6;Adet;238078.58
Euro Fiyat Listesi;Public Cloud - Accelerated_CH24s_v6;Adet;4515.07
TL Fiyat Listesi;Public Cloud - Accelerated_CH48s_v6;Adet;476156.71
Euro Fiyat Listesi;Public Cloud - Accelerated_CH48s_v6;Adet;9030.13
TL Fiyat Listesi;Fiziksel USB Port;Adet;708.82
