Datalake,Datalake Manufacturer,Loki,Zabbix,Category (Loki),Name (Loki),Url (Loki),Ip (Loki),Port (Loki),Site (Loki),Manufacturer (Loki)
10.6.2.190,Veeam,+,-,Platforms,"	PremierDC-Veeam-DC11",https://veeambr01dc11.blt.vc,"	10.6.2.190","	3389","	DC11",Veeam
10.6.2.146,Vmware,,bulutistan-dc11-vc3,Platforms,PremierDC-Vmware-IST-Premier,"	https://vc3dc11.blt.vc",10.6.2.146,,DC11,Vmware
10.34.2.130,IBM-Virtualize,-,10.34.2.130,-,-,-,-,-,-,-
10.6.2.153,IBM-HMC,+,-,Platforms,HMC_DC11,https://vhmcdc11.blt.vc:12443,10.6.2.153,12443,DC11,IBM HMC
10.6.2.80,Nutanix,+,DC11-G3-CLS,Platforms,PremierDC-Nutanix-DC11-G3,"	https://ntnx-dc11g3.blt.vc","	10.6.2.80",9440,DC11-G3,Nutanix
10.6.2.97,Nutanix,+,DC11-G4-CLS,Platforms,PremierDC-Nutanix-DC11-G4,https://ntnx-dc11g4.blt.vc,"	10.6.2.97",9440,DC11-G4,Nutanix
10.6.2.28,Nutanix,+,DC11-G5-CLS,Platforms,PremierDC-Nutanix-DC11-G5,https://ntnx-dc11g5.blt.vc,"	10.6.2.28","	9440","	DC11-G5",Nutanix
10.6.2.200,Nutanix,+,DC11-G6-CLS,Platforms,PremierDC-Nutanix-DC11-G6,https://ntnx-dc11g6.blt.vc,"	10.6.2.200",9440,DC11-G6,Nutanix
10.6.9.12,Zerto,+,Zerto-DC11-Site03,Platforms,"	PremierDC-Zerto-DC11-Site03","	https://10.6.9.12:9669/",10.6.9.12,,"	DC11-Site03",Zerto
10.6.1.222,Netbackup,+,nbmasterdc11.blt.vc,Platforms,"	PremierDC-Netbackup-DC11_0",https://nbmasterdc11.blt.vc,10.6.1.222,443,DC11,Netbackup
10.35.2.146,Veeam,-,Bulutistan-Veeam-Dc12_Br_New-Template,-,-,-,-,-,-,-
"	10.35.2.10",VmWare,+,bulutistan-dc12-vc1,Platforms,Vodafone ?zmir-Vmware-IZM-Vodafone,"	https://vc1dc12.blt.vc","	10.35.2.10",443,DC12,Vmware
10.35.9.10,Zerto,+,Zerto-DC12-Site01,Platforms,Vodafone ?zmir-Zerto-DC12-Site01,"	https://10.35.9.10:9669/",10.35.9.10,"	9669",DC12-Site01,Zerto
10.35.2.178,Nutanix,+,DC12-G4-CLS,Platforms,Vodafone ?zmir-Nutanix-DC12-G4,https://ntnx-dc12g4.blt.vc,"	10.35.2.178",9440,"	DC12-G4",Nutanix
